REGION,COUNTRY,SECTOR,SUBSECTOR,YEAR,QUARTER,"Dividend, USD"
Canada,Canada,Financial,Insurance,2014,14Q3,898622650.883474
Canada,Canada,Financial,Insurance,2014,14Q4,862170103.948535
Canada,Canada,Financial,Insurance,2015,15Q1,1028613223.77917
Canada,Canada,Financial,Insurance,2015,15Q2,878528729.690606
Canada,Canada,Financial,Insurance,2015,15Q3,816639360.215645
Canada,Canada,Financial,Insurance,2015,15Q4,787388678.866921
Canada,Canada,Financial,Insurance,2016,16Q1,1108387793.82596
Canada,Canada,Financial,Insurance,2016,16Q2,906373090.160757
Canada,Canada,Financial,Insurance,2016,16Q3,890422526.112053
Canada,Canada,Financial,Insurance,2016,16Q4,879113127.497322
Canada,Canada,Financial,Insurance,2017,17Q1,1164992599.6456
Canada,Canada,Financial,Insurance,2017,17Q2,971325506.618602
Canada,Canada,Financial,Insurance,2017,17Q3,1019866850.1917
Canada,Canada,Financial,Insurance,2017,17Q4,1016490508.42477
Canada,Canada,Financial,Insurance,2018,18Q1,1317181080.95112
Canada,Canada,Financial,Insurance,2018,18Q2,1035333057.97263
Canada,Canada,Financial,Insurance,2018,18Q3,1056094022.98608
Canada,Canada,Financial,Insurance,2018,18Q4,1060105282.97404
Canada,Canada,Financial,Insurance,2019,19Q1,1374446121.70204
Canada,Canada,Financial,Insurance,2019,19Q2,1098123756.86811
Canada,Canada,Financial,Insurance,2019,19q3,1087675086.86371
Canada,Canada,Financial,Insurance,2019,19Q4,1115345356.78394
Canada,Canada,Financial,Insurance,2020,20Q1,1354990086.25391
Canada,Canada,Financial,Insurance,2020,20Q2,1221284857.69738
Canada,Canada,Financial,Insurance,2020,20Q3,1249607043.88193
Canada,Canada,Financial,Insurance,2020,20Q4,1295203887.43595
Canada,Canada,Financial,Insurance,2021,21Q1,1596403750.74256
Canada,Canada,Financial,Insurance,2021,21q2,1356267318.20156
Canada,Canada,Financial,Insurance,2021,21q3,1336764447.82956
Canada,Canada,Financial,Insurance,2021,21Q4,1513821253.92888
Canada,Canada,Financial,Insurance,2022,22q1,1817966136.62372
Canada,Canada,Financial,Insurance,2022,22Q2,1533034265.18649
Canada,Canada,Financial,Insurance,2022,22Q3,1466900392.17795
